cement,cao,al2o3,sio2,coarge aggregate,fine aggregate,water cement ratio,compressive strength
330,56.4355,17.534,112.8765,920,716,0.32,87.5
220,84.65325,26.301,169.31475,912,710,0.32,84.5
440,19.998,21.2245,52.228,924,720,0.32,76.9
330,39.996,42.449,104.456,913,711,0.32,62.2
220,59.994,63.6735,156.684,903,703,0.32,69.3
440,15.08543,16.13292,65.61848,922,717,0.32,78.6
330,30.1345,32.22725,131.142,909,707,0.32,72.7
220,45.21993,48.36017,196.76048,896,697,0.32,64.3
374,57.313,3.6338,50.3969,968,790,0.34,93
366,3.6036,32.5468,109.8656,968,790,0.34,97
336,4.2406,34.1562,134.3524,968,790,0.34,101
308,4.8307,35.4217,157.3119,968,790,0.34,103
397,60.552,3.9012,54.1911,968,790,0.3,99
388,3.8339,34.7065,116.7895,968,790,0.31,109
413,3.8647,34.1081,118.8002,968,790,0.27,122
413,2.5667,30.8749,119.874,968,790,0.27,118
413,2.5667,30.8749,119.874,968,790,0.27,119
460,0,0,0,1085.2,693.81,0.35,68
368,2.0608,25.944,53.866,1085.2,693.81,0.35,66
322,3.0912,38.916,80.799,1085.2,693.81,0.35,58
276,4.1216,51.888,107.732,1085.2,693.81,0.35,56
368,31.3904,9.5588,33.4972,1085.2,693.81,0.35,66
322,47.0856,14.3382,50.2458,1085.2,693.81,0.35,61.5
400,0,0,0,972,783,0.42,46.1
280,12.66,4.38,9.48,968,780,0.42,44.9
200,21.1,7.3,15.8,966,778,0.42,44.6
454,0,0,0,981,729,0.37,50.5
318,12.64,4.37,9.47,977,726,0.37,56.3
227,21.1,7.3,15.8,974,724,0.37,57.1
525,0,0,0,981,672,0.32,60
368,12.62,4.37,9.45,976,668,0.32,64.3
263,21.06,7.29,15.77,972,665,0.32,66.7
622,0,0,0,965,608,0.27,71.4
435,12.69,4.39,9.5,959,604,0.27,72.6
311,21.1,7.3,15.8,954,601,0.27,76.2
350,0,0,0,1197.7,832.3,0.3,75.8
280,6.52,2.84,7.34,1194.75,830.25,0.3,81.4
210,13.04,5.68,14.68,1188.85,826.15,0.3,81
140,19.57,8.53,22.02,1185.9,824.1,0.3,73.3
70,26.09,11.37,29.36,1180,820,0.3,62.7
350,0,0,0,1144.6,795.4,0.3,63.9
280,6.52,2.84,7.34,1138.7,791.3,0.3,65.8
210,13.04,5.68,14.68,1135.75,789.25,0.3,67.2
140,19.57,8.53,22.02,1129.85,785.15,0.3,61.8
70,26.09,11.37,29.36,1126.9,783.1,0.3,50.4
350,0,0,0,1088.55,756.45,0.3,53.6
280,6.52,2.84,7.34,1085.6,754.4,0.3,57
210,13.04,5.68,14.68,1079.7,750.3,0.3,55.9
140,19.57,8.53,22.02,1076.75,748.25,0.3,45.1
70,26.09,11.37,29.36,1070.85,744.15,0.3,29.9
400,0,0,0,1150.5,799.5,0.3,80.7
320,6.52,2.84,7.34,1144.6,795.4,0.3,81.4
240,13.04,5.68,14.68,1141.65,793.35,0.3,82
160,19.57,8.53,22.02,1135.75,789.25,0.3,77.8
80,26.09,11.37,29.36,1129.85,785.15,0.3,67.7
400,0,0,0,1088.55,756.45,0.3,63.9
320,6.52,2.84,7.34,1082.65,752.35,0.3,66
240,13.04,5.68,14.68,1076.75,748.25,0.3,66.9
160,19.57,8.53,22.02,1073.8,746.2,0.3,61.1
80,26.09,11.37,29.36,1067.9,742.1,0.3,53.1
400,0,0,0,1023.65,711.35,0.3,51.4
320,6.52,2.84,7.34,1020.7,709.3,0.3,52.6
240,13.04,5.68,14.68,1014.8,705.2,0.3,51.6
160,19.57,8.53,22.02,1008.9,701.1,0.3,40.1
80,26.09,11.37,29.36,1005.95,699.05,0.3,25.3
450,0,0,0,1100.35,764.65,0.3,80.3
360,6.52,2.84,7.34,1097.4,762.6,0.3,81.8
270,13.04,5.68,14.68,1091.5,758.5,0.3,83.8
180,19.57,8.53,22.02,1085.6,754.4,0.3,80.6
90,26.09,11.37,29.36,1079.7,750.3,0.3,66.3
450,0,0,0,1032.5,717.5,0.3,64.3
360,6.52,2.84,7.34,1026.6,713.4,0.3,73.5
270,13.04,5.68,14.68,1020.7,709.3,0.3,66.4
180,19.57,8.53,22.02,1014.8,705.2,0.3,61.8
90,26.09,11.37,29.36,1008.9,701.1,0.3,46.8
450,0,0,0,961.7,668.3,0.3,48.7
360,6.52,2.84,7.34,955.8,664.2,0.3,50.4
270,13.04,5.68,14.68,949.9,660.1,0.3,49.3
180,19.57,8.53,22.02,944,656,0.3,39.5
90,26.09,11.37,29.36,938.1,651.9,0.3,27.7
350,0,0,0,1037,684,0.66,35
245,9.85,3.05,11.75,1036,683,0.66,36.1
245,13.68,4.24,16.33,982,647,0.57,41.4
245,16.41,5.09,19.59,924,609,0.51,42.3
245,18.46,5.73,22.04,864,569,0.47,41.5
245,20.06,6.22,23.94,799,526,0.44,37.5
400,0,0,0,999,659,0.6,40.4
280,9.85,3.05,11.75,999,659,0.59,41.8
280,13.68,4.24,16.33,936,617,0.51,47.5
280,16.41,5.09,19.59,866,570,0.47,48.4
280,18.46,5.73,22.04,796,525,0.43,47
280,20.06,6.22,23.94,723,477,0.41,42.7
400,0,0,0,1050,850,0.5,60
300,0.75,7,15,1050,850,0.5,63
240,1.2,11.2,24,1050,850,0.5,64
160,1.8,16.8,36,1050,850,0.5,63
400,0,0,0,1200,750,0.45,61
300,0.75,7,15,1200,750,0.45,59
240,1.2,11.2,24,1200,750,0.45,61
160,1.8,16.8,36,1200,750,0.45,65
465,0.33,4.23,8.78,590,910,0.41,35.19
440,0.45,5.64,11.71,590,910,0.41,33.15
415,0.56,7.05,14.64,590,910,0.42,31.47
385,0.67,8.46,17.57,590,910,0.43,30.66
355,0.78,9.87,20.49,590,910,0.44,29.62
247,1.12,1.88,9.37,846,845,0.45,34.6
163,1.68,2.82,14.05,851,851,0.4,26.2
161,1.68,2.82,14.03,864,866,0.35,35.8
250,1.31,15.71,29.86,772,842,0.34,39.62
333,0.98,11.77,22.36,766,835,0.33,50.24
417,0.67,8.05,15.3,759,828,0.32,61.82
500,0.42,5.04,9.58,753,820,0.32,70.93
583,0.2,2.37,4.5,745,813,0.31,81.25
270,1,12,22.8,842,801,0.44,60.3
180,1.5,18,34.2,829,788,0.44,42.5
440,0.5,6,11.4,917,714,0.32,69.8
330,1,12,22.8,899,700,0.32,60.9
220,1.5,18,34.2,881,686,0.32,47.5
165,1.75,21,39.9,865,735,0.58,37.92
275,1.25,15,28.5,937,796,0.37,63.32
385,0.75,9,17.1,966,821,0.29,89.1
220,1.4,13.5,25.65,900,916,0.39,49
321.75,1.09,10.5,19.95,729.18,862.45,0.36,32.26
360,1.24,12,24.4,698,853,0.28,63.5
380,0.16,1.5,3.05,578,1180,0.38,40.4
83,2.63,25.48,51.81,794,624,0.41,14.64
165,2.17,21,42.7,834,656,0.34,34.9
225,2.17,21,42.7,620,487,0.33,34.83
275,1.55,15,30.5,880,691,0.34,57.9
325,1.55,15,30.5,777,611,0.34,50.07
385,0.93,9,18.3,931,732,0.31,77.08
350,0.93,9,18.3,901,707,0.36,71.62
495,0.31,3,6.1,962,756,0.29,86.41
215,1.4,13,30.5,905,925,0.38,20.4
350,0.84,7.8,18.3,600,900,0.35,37.18
300,1.4,13,30.5,720,787,0.28,52.7
480,0.47,4.33,10.17,699,819,0.38,53
350,0.89,8.23,19.3,840,768,0.41,51.7
349,0.89,8.24,19.34,852,779,0.39,59.9
350,0.77,7.16,16.8,883,815,0.38,55.3
350,0.67,6.26,14.69,900,831,0.39,61
250,1.42,13.18,30.92,853,787,0.38,51.5
427,0.59,5.52,12.94,844,779,0.36,59.4
348,1.1,10.18,23.89,848,783,0.31,58.6
350,0.57,5.32,12.48,923,852,0.39,46.5
327,0.97,9,21.11,803,902,0.35,61.6
380,0.77,7.18,16.85,854,788,0.35,73.5
350,0.76,9.02,21.17,851,786,0.33,70.4
380,0.61,7.18,16.85,659,988,0.35,65.5
380,0.74,8.73,20.48,621,931,0.35,67.8
275,1.05,12.38,29.05,840,775,0.35,54.5
399,0.44,5.21,12.22,882,814,0.35,55
344,0.66,7.78,18.26,881,814,0.35,48.75
437,0.34,4.02,9.44,924,743,0.34,69.7
375,0.55,6.5,15.25,673,938,0.35,60.8
300,0.88,10.4,24.4,663,923,0.35,54.69
225,1.21,14.3,33.55,652,908,0.35,41.42
290,1.1,13,30.5,650,975,0.38,37.97
420,0.35,4.16,9.76,860,785,0.33,56
477,0.3,2.6,6.1,668,768,0.45,32.19
350,0.9,7.8,18.3,876,830,0.38,21.6
300,1.2,10.4,24.4,860,845,0.4,26.5
250,1.5,13,30.5,856,856,0.42,31.25
550,0,0,0,1283,550,0.3,63.5
495,0.14,0.08,8.7,1273,546,0.3,72.8
468,0.21,0.13,12.97,1267,543,0.3,75.1
440,0.28,0.17,17.4,1261,540,0.3,78.2
500,0,0,0,1324,567,0.32,59.6
450,0.14,0.08,8.7,1313,562,0.32,68.8
425,0.21,0.13,13.05,1307,560,0.32,72.2
400,0.28,0.17,17.4,1301,558,0.32,72.7
500,0,0,0,1305,560,0.34,57.9
450,0.14,0.08,8.7,1294,555,0.34,66.6
425,0.21,0.13,13.05,1290,553,0.34,67.2
400,0.28,0.17,17.4,1285,551,0.34,69.3
550,0,0,0,1283,550,0.3,88.5
495,0.14,0.08,8.7,1273,546,0.3,95.2
468,0.21,0.13,12.97,1267,543,0.3,96
440,0.28,0.17,17.4,1261,540,0.3,98.1
500,0,0,0,1324,567,0.32,85.7
450,0.14,0.08,8.7,1313,562,0.32,91.6
425,0.21,0.13,13.05,1307,560,0.32,93.4
400,0.28,0.17,17.4,1301,558,0.32,94.3
500,0,0,0,1305,560,0.34,82.8
450,0.14,0.08,8.7,1294,555,0.34,89.7
425,0.21,0.13,13.05,1290,553,0.34,90.3
400,0.28,0.17,17.4,1285,551,0.34,91.1
